date,saison,ventes
2023-08-28,2023,169
2023-08-29,2023,167
2023-08-30,2023,156
2023-08-31,2023,175
2023-09-01,2023,193
2023-09-02,2023,172
2023-09-03,2023,169
2023-09-04,2023,193
2023-09-05,2023,201
2023-09-06,2023,214
2023-09-07,2023,206
2023-09-08,2023,208
2023-09-09,2023,218
2023-09-10,2023,217
2023-09-11,2023,233
2023-09-12,2023,247
2023-09-13,2023,235
2023-09-14,2023,228
2023-09-15,2023,214
2023-09-16,2023,209
2023-09-17,2023,231
2023-09-18,2023,253
2023-09-19,2023,238
2023-09-20,2023,215
2023-09-21,2023,217
2023-09-22,2023,226
2023-09-23,2023,213
2023-09-24,2023,203
2023-09-25,2023,210
2023-09-26,2023,233
2023-09-27,2023,242
2023-09-28,2023,230
2023-09-29,2023,203
2023-09-30,2023,169
2024-06-01,2024,235
2024-06-02,2024,244
2024-06-03,2024,245
2024-06-04,2024,226
2024-06-05,2024,181
2024-06-06,2024,180
2024-06-07,2024,164
2024-06-08,2024,138
2024-06-09,2024,134
2024-06-10,2024,134
2024-06-11,2024,139
2024-06-12,2024,157
2024-06-13,2024,167
2024-06-14,2024,128
2024-06-15,2024,116
2024-06-16,2024,119
2024-06-17,2024,120
2024-06-18,2024,116
2024-06-19,2024,121
2024-06-20,2024,135
2024-06-21,2024,158
2024-06-22,2024,181
2024-06-23,2024,201
2024-06-24,2024,184
2024-06-25,2024,190
2024-06-26,2024,195
2024-06-27,2024,194
2024-06-28,2024,206
2024-06-29,2024,218
2024-06-30,2024,215
2024-07-01,2024,185
2024-07-02,2024,183
2024-07-03,2024,213
2024-07-04,2024,237
2024-07-05,2024,253
2024-07-06,2024,271
2024-07-07,2024,278
2024-07-08,2024,257
2024-07-09,2024,245
2024-07-10,2024,221
2024-07-11,2024,201
2024-07-12,2024,200
2024-07-13,2024,216
2024-07-14,2024,216
2024-07-15,2024,203
2024-07-16,2024,190
2024-07-17,2024,193
2024-07-18,2024,172
2024-07-19,2024,127
2024-07-20,2024,148
2024-07-21,2024,197
2024-07-22,2024,219
2024-07-23,2024,223
2024-07-24,2024,209
2024-07-25,2024,175
2024-07-26,2024,171
2024-07-27,2024,165
2024-07-28,2024,176
2024-07-29,2024,194
2024-07-30,2024,175
2024-07-31,2024,170
2024-08-01,2024,153
2024-08-02,2024,136
2024-08-03,2024,159
2024-08-04,2024,169
2024-08-05,2024,164
2024-08-06,2024,160
2024-08-07,2024,155
2024-08-08,2024,175
2024-08-09,2024,198
2024-08-10,2024,209
2024-08-11,2024,187
2024-08-12,2024,170
2024-08-13,2024,164
2024-08-14,2024,168
2024-08-15,2024,164
2024-08-16,2024,178
2024-08-17,2024,234
2024-08-18,2024,254
2024-08-19,2024,231
2024-08-20,2024,228
2024-08-21,2024,204
2024-08-22,2024,179
2024-08-23,2024,193
2024-08-24,2024,199
2024-08-25,2024,196
2024-08-26,2024,218
2024-08-27,2024,231
2024-08-28,2024,233
2024-08-29,2024,216
2024-08-30,2024,234
2024-08-31,2024,241
2024-09-01,2024,233
2024-09-02,2024,230
2024-09-03,2024,223
2024-09-04,2024,198
2024-09-05,2024,183
2024-09-06,2024,189
2024-09-07,2024,215
2024-09-08,2024,229
2024-09-09,2024,218
2024-09-10,2024,213
2024-09-11,2024,216
2024-09-12,2024,213
2024-09-13,2024,214
2024-09-14,2024,239
2024-09-15,2024,246
2024-09-16,2024,215
2024-09-17,2024,192
2024-09-18,2024,186
2024-09-19,2024,179
2024-09-20,2024,182
2024-09-21,2024,205
2024-09-22,2024,187
2024-09-23,2024,156
2024-09-24,2024,153
2024-09-25,2024,174
2024-09-26,2024,164
2024-09-27,2024,173
2024-09-28,2024,216
2024-09-29,2024,246
2024-09-30,2024,250
2025-06-01,2025,144
2025-06-02,2025,153
2025-06-03,2025,159
2025-06-04,2025,150
2025-06-05,2025,166
2025-06-06,2025,211
2025-06-07,2025,221
2025-06-08,2025,229
2025-06-09,2025,241
2025-06-10,2025,218
2025-06-11,2025,203
2025-06-12,2025,192
2025-06-13,2025,205
2025-06-14,2025,233
2025-06-15,2025,242
2025-06-16,2025,228
2025-06-17,2025,223
2025-06-18,2025,226
2025-06-19,2025,240
2025-06-20,2025,257
2025-06-21,2025,264
2025-06-22,2025,233
2025-06-23,2025,220
2025-06-24,2025,236
2025-06-25,2025,230
2025-06-26,2025,202
2025-06-27,2025,202
2025-06-28,2025,190
2025-06-29,2025,171
2025-06-30,2025,168
2025-07-01,2025,158
2025-07-02,2025,130
2025-07-03,2025,155
2025-07-04,2025,180
2025-07-05,2025,160
2025-07-06,2025,182
2025-07-07,2025,208
2025-07-08,2025,227
2025-07-09,2025,257
2025-07-10,2025,242
2025-07-11,2025,230
2025-07-12,2025,240
2025-07-13,2025,222
2025-07-14,2025,192
2025-07-15,2025,200
2025-07-16,2025,215
2025-07-17,2025,196
2025-07-18,2025,173
2025-07-19,2025,172
2025-07-20,2025,169
2025-07-21,2025,200
2025-07-22,2025,253
2025-07-23,2025,273
2025-07-24,2025,254
2025-07-25,2025,216
2025-07-26,2025,192
2025-07-27,2025,226
2025-07-28,2025,266
2025-07-29,2025,251
2025-07-30,2025,224
2025-07-31,2025,231
2025-08-01,2025,231
2025-08-02,2025,215
2025-08-03,2025,218
2025-08-04,2025,234
2025-08-05,2025,238
2025-08-06,2025,265
2025-08-07,2025,275
2025-08-08,2025,253
2025-08-09,2025,211
2025-08-10,2025,175
2025-08-11,2025,173
2025-08-12,2025,180
2025-08-13,2025,166
2025-08-14,2025,206
2025-08-15,2025,244
2025-08-16,2025,244
2025-08-17,2025,234
2025-08-18,2025,222
2025-08-19,2025,185
2025-08-20,2025,171
2025-08-21,2025,166
2025-08-22,2025,147
2025-08-23,2025,175
2025-08-24,2025,202
2025-08-25,2025,209
2025-08-26,2025,210
2025-08-27,2025,200
2025-08-28,2025,178
2025-08-29,2025,185
2025-08-30,2025,184
2025-08-31,2025,162
2025-09-01,2025,144
2025-09-02,2025,155
2025-09-03,2025,181
2025-09-04,2025,204
2025-09-05,2025,209
2025-09-06,2025,204
2025-09-07,2025,222
2025-09-08,2025,208
2025-09-09,2025,202
2025-09-10,2025,212
2025-09-11,2025,204
2025-09-12,2025,185
2025-09-13,2025,158
2025-09-14,2025,132
2025-09-15,2025,120
2025-09-16,2025,127
2025-09-17,2025,176
2025-09-18,2025,196
2025-09-19,2025,188
2025-09-20,2025,183
2025-09-21,2025,163
2025-09-22,2025,145
2025-09-23,2025,174
2025-09-24,2025,199
2025-09-25,2025,177
2025-09-26,2025,137
2025-09-27,2025,155
2025-09-28,2025,178
2025-09-29,2025,161
2025-09-30,2025,170
